PROVINCIA,LECT_EN INICIO_2016,LECT_EN PROCESO_2016,MAT_EN INICIO_2016,MAT_EN PROCESO_2016,MEDIDA PROMEDIO MATEMATICA_2016,LECT_EN INICIO_2018,LECT_EN PROCESO_2018,MAT_EN INICIO_2018,MAT_EN PROCESO_2018,MEDIDA PROMEDIO MATEMATICA_2018,CUARTIL_2024,REGION_ANCASH,REGION_APURIMAC,REGION_AREQUIPA,REGION_AYACUCHO,REGION_CAJAMARCA,REGION_CUSCO,REGION_HUANCAVELICA,REGION_HUANUCO,REGION_ICA,REGION_JUNIN,REGION_LA LIBERTAD,REGION_LAMBAYEQUE,REGION_LIMA,REGION_LORETO,REGION_MADRE DE DIOS,REGION_MOQUEGUA,REGION_PASCO,REGION_PIURA,REGION_PUNO,REGION_SAN MARTIN,REGION_TACNA,REGION_TUMBES,REGION_UCAYALI
GRAU,45.083333333333336,24.241666666666664,35.03333333333333,41.36666666666667,428.4166666666667,27.55,32.766666666666666,30.20833333333333,36.075,443.25,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AREQUIPA,18.05185185185185,35.7962962962963,16.855555555555558,47.34074074074074,488.22222222222223,17.28076923076923,31.392307692307693,14.738461538461538,42.065384615384616,506.5,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CAMANÁ,20.9625,38.25,17.775,46.3,490.75,24.725,35.575,17.475,46.1,483.875,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CARAVELÍ,26.40909090909091,34.445454545454545,21.118181818181817,44.64545454545455,470.3636363636364,19.53076923076923,38.01538461538461,15.453846153846154,42.69230769230769,500.61538461538464,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CASTILLA,21.07,29.7,15.14,44.03,496.1,29.78,30.78,16.41,38.02,485.5,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CAYLLOMA,26.188888888888886,31.15,14.683333333333334,45.45,499.1666666666667,24.13157894736842,30.789473684210527,14.86315789473684,42.26842105263158,503.4736842105263,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CONDESUYOS,24.380000000000003,33.239999999999995,24.660000000000004,42.78,469.2,21.883333333333336,32.61666666666667,13.516666666666667,38.46666666666667,521.1666666666666,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ISLAY,20.366666666666667,32.43333333333333,14.366666666666667,38.56666666666667,518.5,17.033333333333335,35.666666666666664,10.6,38.03333333333333,526.5,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LA UNIÓN,30.244444444444444,35.87777777777777,22.866666666666667,34.7,444.6666666666667,23.9875,32.45,24.775,38.1,449.875,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CANGALLO,37.75,13.5,34.666666666666664,19.95,380.6666666666667,34.333333333333336,22.9,32.050000000000004,37.81666666666667,438.6666666666667,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
