PROVINCIA,LECT_EN INICIO_2016,LECT_EN PROCESO_2016,LECT_PREVIO AL INICIO_2016,LECT_SATISFACTORIO_2016,MAT_EN INICIO_2016,MAT_EN PROCESO_2016,MAT_PREVIO AL INICIO_2016,MAT_SATISFACTORIO_2016,MEDIDA PROMEDIO COMPRENSION LECTORA_2016,MEDIDA PROMEDIO MATEMATICA_2016,LECT_EN INICIO_2018,LECT_EN PROCESO_2018,LECT_PREVIO AL INICIO_2018,LECT_SATISFACTORIO_2018,MAT_EN INICIO_2018,MAT_EN PROCESO_2018,MAT_PREVIO AL INICIO_2018,MAT_SATISFACTORIO_2018,MEDIDA PROMEDIO COMPRENSION LECTORA_2018,MEDIDA PROMEDIO MATEMATICA_2018,VAB_Administración_Pública_y_Defensa_2016,VAB_Administración_Pública_y_Defensa_2018,VAB_Electricidad_Gas_y_Agua_2016,VAB_Electricidad_Gas_y_Agua_2018,VAB_Telecom_y_Otros_Serv_de_Información_2016,VAB_Telecom_y_Otros_Serv_de_Información_2018,CUARTIL_2024,REGION_ANCASH,REGION_APURIMAC,REGION_AREQUIPA,REGION_AYACUCHO,REGION_CAJAMARCA,REGION_CUSCO,REGION_HUANCAVELICA,REGION_HUANUCO,REGION_ICA,REGION_JUNIN,REGION_LA LIBERTAD,REGION_LAMBAYEQUE,REGION_LIMA,REGION_LORETO,REGION_MADRE DE DIOS,REGION_MOQUEGUA,REGION_PASCO,REGION_PIURA,REGION_PUNO,REGION_SAN MARTIN,REGION_TACNA,REGION_TUMBES,REGION_UCAYALI
PALLASCA,25.6,36.98181818181818,9.518181818181818,27.90909090909091,18.20909090909091,40.06363636363636,12.854545454545455,28.89090909090909,474.27272727272725,475.1818181818182,34.46363636363637,26.40909090909091,18.39090909090909,20.75454545454545,23.200000000000003,42.28181818181818,12.509090909090908,22.0,442.1818181818182,454.1818181818182,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POMABAMBA,0.0,16.7,83.3,0.0,16.7,16.7,66.7,0.0,340.0,368.0,31.55,18.125,43.225,7.075,29.775,25.075,40.1,5.05,372.25,382.5,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RECUAY,37.58888888888889,26.78888888888889,15.811111111111112,19.8,27.72222222222222,39.62222222222223,14.322222222222225,18.344444444444445,445.44444444444446,449.6666666666667,23.22222222222222,37.95555555555556,16.788888888888888,22.05555555555556,29.166666666666668,39.44444444444444,13.011111111111113,18.41111111111111,457.77777777777777,453.44444444444446,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SANTA,27.322222222222223,35.28888888888889,13.744444444444444,23.633333333333333,25.766666666666666,43.21111111111111,13.444444444444445,17.58888888888889,460.6666666666667,450.3333333333333,30.84444444444445,31.04444444444444,12.72222222222222,25.377777777777776,24.922222222222224,40.87777777777777,13.355555555555554,20.844444444444445,459.55555555555554,453.6666666666667,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SIHUAS,46.0,19.95555555555556,29.61111111111111,4.444444444444445,38.67777777777778,24.82222222222222,32.766666666666666,3.744444444444445,398.8888888888889,388.22222222222223,34.74444444444444,21.677777777777777,27.977777777777774,15.58888888888889,29.744444444444444,34.68888888888889,25.511111111111116,10.055555555555555,423.44444444444446,416.0,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
YUNGAY,34.475,24.3875,33.0,8.15,29.1125,25.8,35.8875,9.2125,403.625,398.375,26.6875,21.3125,39.275,12.725,28.5875,29.8,28.325,13.3,404.75,417.25,851789.0,942826.0,426444.0,427851.0,474820.0,579076.0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ABANCAY,35.7,29.1875,21.35,13.7875,27.3,33.8625,25.55,13.3125,429.5,425.0,34.666666666666664,26.788888888888888,17.0,21.544444444444444,22.366666666666667,40.333333333333336,14.733333333333333,22.58888888888889,447.44444444444446,459.77777777777777,289305.0,315450.0,40299.0,46425.0,51781.0,56069.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANDAHUAYLAS,38.22777777777778,20.37222222222222,34.02777777777778,7.355555555555556,31.42777777777778,28.422222222222224,32.733333333333334,7.422222222222222,398.55555555555554,399.6111111111111,31.6,23.721052631578942,31.18421052631579,13.489473684210529,26.157894736842103,31.121052631578944,27.021052631578947,15.705263157894736,416.42105263157896,425.10526315789474,289305.0,315450.0,40299.0,46425.0,51781.0,56069.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ANTABAMBA,35.74285714285714,27.32857142857143,12.528571428571428,24.342857142857145,28.414285714285715,44.457142857142856,12.942857142857145,14.157142857142857,454.7142857142857,444.2857142857143,38.01428571428572,35.357142857142854,10.471428571428572,16.157142857142855,17.3,51.07142857142857,9.3,22.342857142857145,447.4285714285714,469.7142857142857,289305.0,315450.0,40299.0,46425.0,51781.0,56069.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AYMARAES,31.29375,28.35,19.21875,21.15,25.71875,38.78125,21.6625,13.84375,441.0625,430.5,32.653333333333336,27.3,19.186666666666667,20.846666666666668,29.56,41.373333333333335,11.24,17.846666666666668,441.26666666666665,448.4,289305.0,315450.0,40299.0,46425.0,51781.0,56069.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
